guid,abbreviation,expanded abbreviation,explanation,tags
B1XTu2h{U3,ROA,route origin authorization,certificate within RPKI to originate a certain IP prefix,ETH::sem4::CN
PwL}hnzKF+,RPKI,Resource Public Key Infrastructure,hierarchy of resource certificates to mitigate BGP hijacks,ETH::sem4::CN
PbW0T$hdpc,RTS,request to send,request to send data in MACA,ETH::sem4::CN
oKN]CK~4T>,RTT,round-trip time,two-way latency of a connection,ETH::sem4::CN
jpzUaLb}T?,RWND,receiving window,maximum amount of data in flight to not overload the receiver,ETH::sem4::CN
l?=(![se8d,TCAM,ternary content-addressable memory,specialized hardware for longest-prefix matching,ETH::sem4::CN
3[{XeItrg,TCP,Transmission Control Protocol,transport-layer protocol providing reliable stream transport,ETH::sem4::CN
yP7=KZ_y}I,TDM,time-division multiplexing,one of two main types of sharing bandwidth,ETH::sem4::CN
7w@C$+K70,TLD,top level domain,highest DNS hierarchy,ETH::sem4::CN
xF~%Bvn&sg,TLS,transport-layer security,security protocol building on TCP (*not relevant for this lecture*),ETH::sem4::CN
"uY/+=~X,/|",TTL,time to live,used in several protocols to define the validity of data or packets,ETH::sem4::CN
G6?>]4H3t],UDP,User Datagram Protocol,transport-layer protocol providing *un*reliable datagram transport,ETH::sem4::CN
m{4KX{G|9$,URL,Uniform Resource Locator,reference to a web resource,ETH::sem4::CN
p<vUxNt.Jf,VC,virtual circuit,one of two main networking models,ETH::sem4::CN
cM@CoeVf5?,VoIP,voice over IP,technologies for voice communication over the Internet,ETH::sem4::CN
O`-A?+3?/,"MAC (in the context of ""MAC address"")",media access control,"part of the link layer; often used in ""MAC address"" for link-layer addresses",ETH::sem4::CN
u~2Z0+jA>Z,BDP,bandwidth-delay product,product of bandwidth and delay; measures amount of data in flight,ETH::sem4::CN
