guid,text,back extra,tags
f-{gPNFq/[,"{{c1::Tarski's fixed point}}<b>&nbsp;theorem</b>:&nbsp;<br>If&nbsp;\((L,\sqsubseteq,\sqcup,\sqcap,\bot,\top)\)&nbsp;is a {{c4::complete lattice}} and&nbsp;\(f:L\to L\)&nbsp;is a {{c5::monotone function}}, then:<br>{{c2::\(\text{lfp}^\sqsubseteq f\)&nbsp;exists}}, and<br>\({{c2::\text{lfp}^\sqsubseteq f}} = {{c3::\sqcap \text{ Red}(f)\in \text{Fix}(f)}}\)",,eth::sem6::rse
O?cQ(E8U5},"{{c1::Tarski}}'s theorem tells us that a fixed point exists, but {{c2::does not actually suggest an algorithm for computing it}}.",,eth::sem6::rse
q(^eHmv!UM,\(f^{{{c2::n+1}}}(a)=f({{c1::f^n(a)}})\),,eth::sem6::rse
Mm[`BkomRg,"Given a poset of {{c1::finite height}}, a {{c1::least element}}&nbsp;\(\bot\), a {{c1::<span style=""color: rgb(255, 0, 0);"">monotone</span>}}&nbsp;\(f\).<br><br>Then the iterates&nbsp;\(f^0(\bot), f^1(\bot), f^2(\bot), \ldots\)&nbsp;eventually stabilize for some&nbsp;\(n\in N\), that is:<br>\(f^{{{c2::n}} }(\bot)=f^{{{c2::n+1}}}(\bot)\)&nbsp;and:<br>\({{c3::lfp^\sqsubseteq f}}={{c4::f^n(\bot)}}\)",,eth::sem6::rse
KS3h[c3}0`,{{c2::\([\![P]\!]\)}} is the&nbsp;{{c1::set of reachable states of a program&nbsp;\(P\)}},,eth::sem6::rse
q?{}!t5>f6,Given functions:<br>\(F:C\to C\)<br>\(F^\#:A\to A\)<br>what does it mean for&nbsp;\(F^\#\)&nbsp;to approximate&nbsp;\(F\)?<br>\(\forall x\in C: {{c1::F(x)\sqsubseteq_C F^\#(x)}}\),,eth::sem6::rse
C8T_Os`?hA,How to approximate a function given:<br>\(F:X\to X\)<br>\(F^\#:Y\to Y\)<br>{{c2::\(Y\)}}&nbsp;is the {{c1::abstract}} and&nbsp;{{c2::\(X\)}}&nbsp;is the {{c1::concrete}},,eth::sem6::rse
unkEEcc=h2,How to approximate a function given:<br>\(F:C\to C\)<br>\(F^\#:A\to A\)<br>We need to connect the {{c1::concrete&nbsp;\(C\)}}&nbsp;and the {{c1::abstract&nbsp;\(A\)}},,eth::sem6::rse
NIxXv;mXHM,"How to approximate a function given:<br>\(F:C\to C\)<br>\(F^\#:A\to A\)<br><br>{{c2::\(\alpha:C\to A\)}}&nbsp;is called the {{c1::<span style=""color: rgb(255, 0, 0);"">abstraction</span>}} function<br>{{c2:: \(\gamma:A\to C\)}}&nbsp;is called the {{c1::<span style=""color: rgb(255, 0, 0);"">concretization</span>}} function","<img src=""paste-375d775a9b1bc0b9c8fe04f548f5deb82eb83ed3.jpg"">",eth::sem6::rse
kQlM=_H)ma,"The {{c2::<span style=""color: rgb(255, 0, 0);"">least precise</span>}} approximation&nbsp;for&nbsp;\(F\)&nbsp;is simply {{c1::\(F^\#(z)=\top\)}}","(However, it is not practically useful as it is too imprecise. It is always <b><span style=""color: rgb(255, 0, 0);"">sound</span></b>.)",eth::sem6::rse
Ml3N0Eo_=;,"The {{c2::<span style=""color: rgb(255, 0, 0);"">most precise</span>}}&nbsp;approximation&nbsp;for&nbsp;\(F\)&nbsp;is {{c1::\(F^\#(z)=\alpha(F(\gamma(z)))\)}}","<img src=""paste-d4b3f7a5e2a953c75298bdcbb23c0c56e7715914.jpg"">",eth::sem6::rse
u]&8K>C>AF,"{{c2::\([\![action]\!]\)}} is often referred to as the&nbsp;{{c1::<span style=""color: rgb(255, 0, 0);"">abstract transformer</span>}}",,eth::sem6::rse
qr.G8lnJS,\([\![action]\!]\)captures the {{c1::abstract semantics of the language}},,eth::sem6::rse
DC~kXK)5#c,Mathematical Concept:<br>{{c2::Bottom&nbsp;\((\bot)\)}}<br><br>Use in Static Analysis:<br>{{c1::Used for initialization of all but initial elements}},,eth::sem6::rse
b`U7~PQp;g,Mathematical Concept:<br>{{c2::Joins&nbsp;\((\sqcup)\)}}<br><br>Use in Static Analysis:<br>{{c1::Combines facts arriving at a program point}},,eth::sem6::rse
e#L{TF:M]K,Mathematical Concept:<br>{{c2::Complete Lattice}}<br><br>Use in Static Analysis:<br>{{c1::Defines Abstract Domain and ensure joins exist}},,eth::sem6::rse
t=:#D.4iqK,Mathematical Concept:<br>{{c2::Widening&nbsp;\((\triangledown)\)}}<br><br>Use in Static Analysis:<br>{{c1::Used to guarantee analysis termination}},,eth::sem6::rse
uv!~&yr~lo,Mathematical Concept:<br>{{c2::Tarski's Theorem}}<br><br>Use in Static Analysis:<br>{{c1::Ensures fixed points exist}},,eth::sem6::rse
B-q:n_8+h3,"<b>Example of lifting</b>:<br>We have x, y, and we lift to&nbsp;\(\text{Var}\to L^i\):<br><br>Let map1 be:&nbsp;\(\{x\to[1,5], y\to[7,10]\}\)<br>Let map2 be:&nbsp;\(\{x\to[2,6], y\to[6,9]\}\)<br><br>Then<br><ul><li>map3 = (map1&nbsp;\(\sqcap\)&nbsp;map2) =&nbsp;{{c2::\(\{x\to[2,5], y\to[7,9]\}\)}}</li><li>map4 = (map1&nbsp;\(\sqcup\)&nbsp;map2) =&nbsp;{{c2::\(\{x\to[1,6], y\to[6,10]\}\)}}</li><li>(map3&nbsp;\(\sqsubseteq\)&nbsp;map4) is {{c1::true}}</li></ul>",,eth::sem6::rse
w`j<(P0<pH,"If we add&nbsp;\(\bot_i\)&nbsp;to any other element, we get&nbsp;{{c1::\(\bot_i\)}}",,eth::sem6::rse
jfI3Kd._PP,"If both operands are not&nbsp;\(\bot_i\), we get:<br>\([x,y] + [p,q] = {{c1::[x+p, y+q]}}\)",(Same for&nbsp;\(*\)),eth::sem6::rse
x>HaVGa#9I,"The operator {{c1::\(\triangledown: L\times L\to L\)}}&nbsp;is called a {{c2::<span style=""color: rgb(255, 0, 0);"">widening</span>}}&nbsp;operator",,eth::sem6::rse
s_xfj%k<}(,"The operator \(\triangledown: L\times L\to L\)&nbsp;is called a <span style=""color: rgb(255, 0, 0);"">widening</span>&nbsp;operator if:<br><ul><li>{{c2::\(\forall a,b\in L: a\sqcup b\sqsubseteq a\triangledown b\)&nbsp;(widening <span style=""color: rgb(255, 0, 0);"">approximates</span> the join)}}<br></li><li>if&nbsp;\(x^0\sqsubseteq x^1\sqsubseteq x^2 \sqsubseteq\ldots\sqsubseteq x^n\)&nbsp;is {{c3::an increasing sequence}},<br>then&nbsp;\(y^0\sqsubseteq y^1\sqsubseteq y^2 \sqsubseteq\ldots\sqsubseteq y^n\)&nbsp;{{c4::<span style=""color: rgb(255, 0, 0);"">stabilizes</span> after a <span style=""color: rgb(255, 0, 0);"">finite number of steps</span>}}<br>where&nbsp;\(y^0=x^0\)&nbsp;and&nbsp;\(\forall i\geq 0: y^{i+1}={{c1::y^i\triangledown x^{i+1} }}\)<br></li></ul>",,eth::sem6::rse
J}g-qJ6cXQ,"The <span style=""color: rgb(255, 0, 0);"">fixed point</span> is the&nbsp;{{c1::over-approximation}} of the program",,eth::sem6::rse
l{ym$xRM:t,"We select/define an abstract domain based on the&nbsp;{{c1::type of <span style=""color: rgb(255, 0, 0);"">properties</span> we want to prove}}",,eth::sem6::rse
mE~kfAC@ES,"Interval Domain:<br>\([a,b]\sqsubseteq_i [c,d]\)&nbsp;if&nbsp;{{c1::\(a\geq c, b \leq d\)}}",,eth::sem6::rse
w0Wq[iANd},"Interval Domain:<br>\([a,b]\sqcup_i [c,d] = {{c1::[\min(\{a,c\}), \;\max(\{b,d\})] }}\)",,eth::sem6::rse
x)|a{GHY$Z,"{{c2::\(\text{wdi}(a,b)\)}} is the&nbsp;{{c1::well-defined interval}}",,eth::sem6::rse
"D(+~q,c=ca",\(L^i\)&nbsp;domain defines&nbsp;{{c1::intervals}},"<img src=""paste-d3c832516e4c6fba578d627a1673fd102c9299b0.jpg"">",eth::sem6::rse
bd]yVrl02u,\(\text{Var}\)&nbsp;defines the&nbsp;{{c1::variables}} in a program,,eth::sem6::rse
dlv_A71uGN,"\(\text{Lab} \to (\text{Var} \to \text{L}^i)\)&nbsp;means that&nbsp;{{c1::at each label}} and {{c1::for each variable}}, we will {{c2::keep the interval for that variable}}",,eth::sem6::rse
Pg;hYwGSpO,Generic Template:<br>\(F^\#: {{c1::(Lab \to A)}} \to {{c1::(Lab \to A)}}\),,eth::sem6::rse
fw2p->/<04,"What is&nbsp;\((\ell',\text{action},\ell)\)?<br><br>({{c1::program counter}}, {{c1::action that will be executed}}, {{c1::next program counter}})","<img src=""paste-3715dace1d8462a21e74b3b7c524a70adfc6cb15.jpg"">",eth::sem6::rse
JgrFXSiE)o,"\((\ell',\text{action},\ell)\)&nbsp;is an&nbsp;{{c1::edge}} in the control-flow graph",,eth::sem6::rse
Es<YWVZtg>,"If there exists a transition&nbsp;\(t=\langle\ell',\sigma'\rangle\to\langle\ell,\sigma\rangle\)&nbsp;in a program trace in&nbsp;\(P\), then {{c1::\((\ell',\text{action},\ell)\)}} must exist.<br>This says that we are&nbsp;{{c2::sound}}:&nbsp;{{c2::we never miss a flow}}","<img src=""paste-dff51e4848feb8bc0024b48f3bd8f6e27d2b8e94.jpg"">",eth::sem6::rse
z)mE*$4N/-,Iterate abstract transformers over the {{c2::abstract domain}} until&nbsp;{{c1::we reach a fixed point}},,eth::sem6::rse
JIv4*@!T)Z,The solution to {{c1::a function that keeps iterating}} is to use the&nbsp;{{c2::widening}} operator,,eth::sem6::rse
cQ]X?l+j^a,Widening approximates the&nbsp;{{c1::join}},,eth::sem6::rse
DQ5]V<R%kT,"\([a,b]\triangledown[c,d] = [e,f]\)&nbsp;where:<br><ul><li>if&nbsp;{{c1::\(a&gt;c\)}}, then {{c1::\(e=-\infty\)}}, else {{c1::\(e=a\)}}<br></li><li>if&nbsp;{{c1::\(b&lt;d\)}}, then {{c1::\(f=\infty\)}}, else {{c1::\(f=b\)}}<br></li></ul>",,eth::sem6::rse
b-YuJ/5GF2,"For&nbsp;\([a,b]\triangledown[c,d] = [e,f]\), if one of the operands is&nbsp;\(\bot\)&nbsp;the result is&nbsp;{{c1::the other operand}}.",,eth::sem6::rse
F_2t0+hlgN,When using the widening operator we are able to reach a&nbsp;{{c1::fixed point}} in a program where there is a variable that keeps increasing,"Notice the&nbsp;\([7,\infty]\)&nbsp;that happen because&nbsp;\(y\)&nbsp;is at least 7 at those points and always increases with each iteration<br><img src=""paste-900a0d10aecea56a5ca890654592b4d95691d29d.jpg"">",eth::sem6::rse
OwDF^@tj#d,Looking at the concrete store:<br><ul><li>\(\text{Objs}\)&nbsp;is the&nbsp;{{c1::set of all possible objects}}<br></li><li>\(\text{PtrVal} = {{c2::\text{Objs}\cup\{\text{null}\} }}\)<br></li></ul>,,eth::sem6::rse
bFa/unFJMe,Two pointers are {{c1::aliases}} if {{c2::they point to the same object}},,eth::sem6::rse
pn8Y)d]$/(,"{{c2::Points-to pair (p,A)}} means {{c1::p holds the address of object A}}",,eth::sem6::rse
h>+[#iI+EK,"Using <span style=""color: rgb(255, 0, 0);"">allocation sites</span> (labels), abstract objects are defined as:<br>\(\text{AbsObj}={{c1::\{\ell\;|\;\text{statement is }p:=\text{alloc}^\ell\} }}\)",,eth::sem6::rse
qC/$[u$~[R,Two kinds of pointer analysis:<br><ul><li>{{c1::Flow sensitive}}</li><li>{{c1::Flow insensitive}}<br></li></ul>,,eth::sem6::rse
hb^K`J0/)_,Flow {{c2::sensitive}} pointer analysis {{c1::respects the program control flow}},,eth::sem6::rse
ncLwF:n2dd,Flow {{c2::insensitive}} pointer analysis {{c1::assumes all execution orders are possible (abstracts away order between statements)}},,eth::sem6::rse
7fiYeT>!9,Flow {{c2::insensitive}} pointer analysis is good for&nbsp;{{c1::concurrency (if not too imprecise)}},,eth::sem6::rse
F`yV^x4}P},"Two pointers a and b&nbsp;<span style=""color: rgb(255, 0, 0);"">may alias</span> if:<br>{{c1::points-to (a)&nbsp;\(\cap\)&nbsp;points-to (b)&nbsp;\(\neq \emptyset\)}}",,eth::sem6::rse
GfOk&$7JJe,"A function <span style=""color: rgb(255, 0, 0);"">points-to (p)</span> returns the {{c1::set of all abstract objects that a pointer <span style=""color: rgb(255, 0, 0);"">p</span> can point to}}",,eth::sem6::rse
"w~|,vKL,bq",Sources of <b>unboundedness</b>:<br><ul><li>Unbounded {{c1::heap}}</li><li>Unbounded&nbsp;{{c1::range of array indices}}</li><li>Unbounded {{c1::number of threads}}<br></li></ul>,,eth::sem6::rse
m.:^HgFKSQ,ALoc stands for&nbsp;{{c1::abstract location}},,eth::sem6::rse
m$D[=6VH^2,Widening (\(\triangledown\)) operator jumps&nbsp;{{c1::upwards (above least fixedpoint)}},,eth::sem6::rse
q?g$1kQ@qF,Widening (\(\triangledown\)) ensures&nbsp;{{c1::termination}},,eth::sem6::rse
b#.C0Pz!tW,Widening (\(\triangledown\)) operator&nbsp;{{c1::costs/reduces}} precision,,eth::sem6::rse
fAL#ZC-rWK,Narrowing (\(\triangle\)) operator jumps&nbsp;{{c1::downwards (but stays above least fixedpoint)}},,eth::sem6::rse
K^Ao728gF~,Narrowing (\(\triangle\)) operator&nbsp;{{c1::improves}} precision,,eth::sem6::rse
Eu%leaUU!u,{{c2::Forwards}} analysis overapproximates {{c1::output}} state from {{c1::input}} state,,eth::sem6::rse
C!KCSMuXQN,{{c2::Backwards}} analysis overapproximates {{c1::input}} state from {{c1::output}} state,,eth::sem6::rse
h8}A$xdmmb,{{c1::Forwards}} analysis computes {{c2::postcondition <b>from</b> given precondition}},,eth::sem6::rse
#Iv3!tdQn,"{{c1::Backwards}} analysis computes {{c2::precondition <span style=""color: rgb(255, 0, 0);"">avoiding</span> given postcondition}}",,eth::sem6::rse
g!=g4+ya1B,"<span style=""color: rgb(0, 0, 0);"">How do we combine facts in m</span><span style=""color: rgb(0, 170, 0);"">ay-analysis</span> vs <span style=""color: rgb(0, 170, 255);"">must-analysis?</span><br><ul><li>May:&nbsp;{{c1::overapprox. via join}}</li><li>Must:&nbsp;{{c1::underapprox. via meet}}</li></ul>","<img src=""paste-8d4dfc8b0c60ef1b6d3de1425ecc33fe18cf8c53.jpg"">",eth::sem6::rse
"l&n,&Ex1tA",What are the main limitations of SMT solvers?<br><ul><li>{{c1::Many theories aren't decidable (e.g. non-linear integers)}}<br></li><li>{{c1::Constraint solving may take too long}}<br></li></ul>,,eth::sem6::rse
G[k^:-*-Z|,"{{c2::<span style=""color: rgb(255, 0, 0);"">Concolic execution</span>}} combines {{c1::<span style=""color: rgb(255, 0, 0);"">conc</span>rete}} and {{c1::symb<span style=""color: rgb(255, 0, 0);"">olic</span>}} execution",,eth::sem6::rse
ua$dS|W73K,The high-level idea in the concolic execution is that the {{c1::concrete execution drives the symbolic one}},"<img src=""paste-711b5f5b921db7220d3afec3e49602b616bd0c1f.jpg"">",eth::sem6::rse
u#~UN@e{Hf,Concolic execution uses a solver to {{c1::query legal values to go down the other branch}},"<img src=""paste-e26dba5ae8ded8dd8da77576353a3a48dd2faecb.jpg""><br><img src=""paste-a88a665c2e146d2fc3cf947cb5bd19723908a713.jpg""><img src=""paste-f8f300330e7541209ad27ddf66c73d9fa72f123b.jpg""><br>And then all the paths have been explored",eth::sem6::rse
O!2Kcye;pc,Symbolically executing native code is difficult/impossible because {{c1::sources may not be available}} or&nbsp;{{c1::written in an unsupported language}},,eth::sem6::rse
j6(.@K<>Px,Static analysis is the&nbsp;{{c1::over}}-approximation,,eth::sem6::rse
O`8_iWH_Wz,Dynamic analysis is the {{c1::under}}-approximation,,eth::sem6::rse
f`O~3D1cVu,Symbolic execution is the&nbsp;{{c1::over- &amp; under}}-approximation,,eth::sem6::rse
t5uBTdj0cI,"Core idea of symbolic execution is to {{c1::compute the symbolic constraints per path, and then solve these constraints to have inputs that explore all paths}}",,eth::sem6::rse
Ho^?o[b1e&,Path conditions&nbsp;\(\pi\)&nbsp;are the {{c1::conditions under which a path is taken}},"<img src=""paste-895ace1b661f4db5c33b8ca798be3c89f5e8e0de.jpg"">",eth::sem6::rse
Q_$@!|w>Q|,We have a symbolic state per&nbsp;{{c1::program point}},"<img src=""paste-895ace1b661f4db5c33b8ca798be3c89f5e8e0de.jpg"">",eth::sem6::rse
Ae6=).x8!=,Facts add&nbsp;{{c1::constraints that always hold}},"<img src=""paste-e0e2442850efef9b3668af82dd522d6b00735d90.jpg"">",eth::sem6::rse
f*Sez^$9eb,"The Alloy Analyzer is <b>decidable</b>, because&nbsp;{{c1::it searches for structures <b>up to a given size</b> making the problem become <b>finite</b>}}",,eth::sem6::rse
Ch}Kuqg|/N,In linear temporal logic the&nbsp;\(\phi\)&nbsp;symbol denotes&nbsp;{{c1::what holds now}},,eth::sem6::rse
e.eq(T@u/6,In linear temporal logic&nbsp;\(X\phi\)&nbsp;or&nbsp;\(\circ\phi\)&nbsp;denotes&nbsp;{{c1::that&nbsp;\(\phi\)&nbsp;holds in the next step}},,eth::sem6::rse
f_-$S0s{@[,In linear temporal logic&nbsp;\(\phi U \psi\)&nbsp;denotes&nbsp;{{c1::that&nbsp;\(\phi\)&nbsp;holds until&nbsp;\(\psi\)&nbsp;holds}},,eth::sem6::rse
NA%+S9sSi],In linear temporal logic&nbsp;\(F\phi\)&nbsp;or&nbsp;\(\diamond\phi\)&nbsp;denotes&nbsp;{{c1::that&nbsp;\(\phi\)&nbsp;holds eventually}},(F = finally),eth::sem6::rse
"k{D:|@W,PW",In linear temporal logic&nbsp;\(G\phi\)&nbsp;or&nbsp;\(\square\phi\)&nbsp;denotes&nbsp;{{c1::that&nbsp;\(\phi\)&nbsp;always&nbsp;holds}},(G = globally),eth::sem6::rse
kfsN#[8n@),{{c1::\( \neg (A \land B) \)}} \( \equiv \)&nbsp;{{c2::\( \neg A \lor \neg B \)}}<br>,de Morgan rules,eth::sem1::diskmat
%-v5b-!x=,{{c1::\( \neg (A \lor B) \)&nbsp;}} \( \equiv \)&nbsp;{{c2::\( \neg A \land \neg B\)}}<br>,De Morgan rules,eth::sem1::diskmat
